,1000,2000,3000,4000,5000
0,3820,3120,5540,4520,1320
1,9280,2620,2560,3600,3520
2,1560,3660,2660,3500,4000
3,7600,9000,14120,8640,21580
4,13400,7180,26940,12860,19620
5,1320,2460,8360,3720,22160
6,1560,7120,7900,1680,7000
7,3340,3100,4400,8620,2420
8,11100,1920,3140,1040,3280
9,2180,1520,1200,1560,3020
