Coordinates,Attribute1,Attribute2,Metadata_1,Metadata_2,Metadata_3,Metadata_4,Metadata_5,File
"((5, 0), (5, 1))",12,166.25000000000003,500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,board_n_2194.txt
"((5, 3), (5, 4))",12,161.66666666666669,500,2,2000,2,10104060101030502020303010402060504030203050202060604010305050303060405030205030103060504030106060,board_n_2194.txt
"((0, 1), (0, 2))",14,181.78571428571428,500,2,2000,2,50206060104020404020505030203040202010205050236050301010304050301060304060402030403040501020205060,board_n_358.txt
"((2, 1), (3, 1))",1449,521.6429064379371,500,2,2000,2,50206060104020404020505030203040202010205050236050301010304050301060304060402030403040501020205060,board_n_358.txt
"((2, 4), (3, 4))",34,310.3529411764706,500,2,2000,2,50206060104020404020505030203040202010205050236050301010304050301060304060402030403040501020205060,board_n_358.txt
"((2, 4), (2, 5))",18,223.33333333333331,500,2,2000,2,50206060104020404020505030203040202010205050236050301010304050301060304060402030403040501020205060,board_n_358.txt
"((2, 5), (2, 6))",20,237.5,500,2,2000,2,50206060104020404020505030203040202010205050236050301010304050301060304060402030403040501020205060,board_n_358.txt
"((3, 1), (4, 1))",20,245.66666666666666,500,2,2000,2,50206060104020404020505030203040202010205050236050301010304050301060304060402030403040501020205060,board_n_358.txt
"((3, 1), (3, 2))",280,469.6988095238096,500,2,2000,2,50206060104020404020505030203040202010205050236050301010304050301060304060402030403040501020205060,board_n_358.txt
"((3, 4), (4, 4))",42,340.0793650793651,500,2,2000,2,50206060104020404020505030203040202010205050236050301010304050301060304060402030403040501020205060,board_n_358.txt
"((3, 4), (3, 5))",33,313.3737373737374,500,2,2000,2,50206060104020404020505030203040202010205050236050301010304050301060304060402030403040501020205060,board_n_358.txt
"((4, 0), (4, 1))",34,314.3333333333333,500,2,2000,2,50206060104020404020505030203040202010205050236050301010304050301060304060402030403040501020205060,board_n_358.txt
"((4, 1), (5, 1))",14,171.42857142857142,500,2,2000,2,50206060104020404020505030203040202010205050236050301010304050301060304060402030403040501020205060,board_n_358.txt
"((4, 3), (4, 4))",42,339.8253968253968,500,2,2000,2,50206060104020404020505030203040202010205050236050301010304050301060304060402030403040501020205060,board_n_358.txt
"((0, 0), (1, 0))",33,229.2020202020202,500,2,2000,2,20501040505020402020103020302050203050104020406060104020405050605030403040305010505060304040605040,board_n_1489.txt
"((1, 0), (2, 0))",28,209.83333333333334,500,2,2000,2,20501040505020402020103020302050203050104020406060104020405050605030403040305010505060304040605040,board_n_1489.txt
"((1, 0), (1, 1))",24,188.375,500,2,2000,2,20501040505020402020103020302050203050104020406060104020405050605030403040305010505060304040605040,board_n_1489.txt
"((1, 1), (2, 1))",23,184.7826086956522,500,2,2000,2,20501040505020402020103020302050203050104020406060104020405050605030403040305010505060304040605040,board_n_1489.txt
"((3, 5), (3, 6))",52,276.8846153846154,500,2,2000,2,20501040505020402020103020302050203050104020406060104020405050605030403040305010505060304040605040,board_n_1489.txt
"((4, 0), (4, 1))",19,154.73684210526315,500,2,2000,2,20501040505020402020103020302050203050104020406060104020405050605030403040305010505060304040605040,board_n_1489.txt
"((4, 3), (5, 3))",37,241.40540540540542,500,2,2000,2,20501040505020402020103020302050203050104020406060104020405050605030403040305010505060304040605040,board_n_1489.txt
"((4, 3), (4, 4))",71,303.46478873239437,500,2,2000,2,20501040505020402020103020302050203050104020406060104020405050605030403040305010505060304040605040,board_n_1489.txt
"((4, 4), (5, 4))",29,210.17241379310346,500,2,2000,2,20501040505020402020103020302050203050104020406060104020405050605030403040305010505060304040605040,board_n_1489.txt
"((4, 4), (4, 5))",39,245.71794871794873,500,2,2000,2,20501040505020402020103020302050203050104020406060104020405050605030403040305010505060304040605040,board_n_1489.txt
"((5, 1), (6, 1))",1620,643.8891632373134,500,2,2000,2,20501040505020402020103020302050203050104020406060104020405050605030403040305010505060304040605040,board_n_1489.txt
"((5, 3), (5, 4))",25,196.0,500,2,2000,2,20501040505020402020103020302050203050104020406060104020405050605030403040305010505060304040605040,board_n_1489.txt
"((0, 3), (0, 4))",55,386.32121212121217,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((0, 4), (1, 4))",15,228.66666666666666,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((1, 0), (1, 1))",12,182.91666666666666,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((1, 4), (1, 5))",10,161.5,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((2, 5), (2, 6))",12,188.33333333333334,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((3, 1), (4, 1))",14,215.0,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((4, 3), (4, 4))",10,157.33333333333334,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((4, 4), (5, 4))",30,330.53333333333336,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((4, 4), (4, 5))",1770,622.1510851044762,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((4, 5), (4, 6))",17,248.43137254901958,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((5, 0), (6, 0))",12,181.66666666666666,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((5, 2), (6, 2))",12,190.83333333333334,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((5, 3), (5, 4))",17,247.64705882352942,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((5, 4), (5, 5))",14,214.28571428571428,500,2,2000,2,20603050106030106010105010301020201030405040502030305050401050506050106030302050202030302020503060,board_n_2180.txt
"((1, 0), (2, 0))",92,146.23913043478257,500,2,2000,2,40305020103050504010502060601060206010103050205050404030503010603050103010606040105020502020103050,board_n_1462.txt
"((2, 3), (3, 3))",149,176.57046979865768,500,2,2000,2,40305020103050504010502060601060206010103050205050404030503010603050103010606040105020502020103050,board_n_1462.txt
"((3, 0), (3, 1))",543,229.2301148820486,500,2,2000,2,40305020103050504010502060601060206010103050205050404030503010603050103010606040105020502020103050,board_n_1462.txt
"((4, 5), (4, 6))",1216,284.38982873851285,500,2,2000,2,40305020103050504010502060601060206010103050205050404030503010603050103010606040105020502020103050,board_n_1462.txt
"((0, 4), (0, 5))",11,154.54545454545453,500,2,2000,2,50406060306030603050203050202040401050101050102010301040304020505040405030403030103040503030603010,board_n_1304.txt
"((2, 3), (2, 4))",1845,636.36589237321,500,2,2000,2,50406060306030603050203050202040401050101050102010301040304020505040405030403030103040503030603010,board_n_1304.txt
"((2, 4), (3, 4))",12,165.0,500,2,2000,2,50406060306030603050203050202040401050101050102010301040304020505040405030403030103040503030603010,board_n_1304.txt
"((4, 5), (5, 5))",32,306.1770833333333,500,2,2000,2,50406060306030603050203050202040401050101050102010301040304020505040405030403030103040503030603010,board_n_1304.txt
"((5, 1), (6, 1))",11,139.0909090909091,500,2,2000,2,50406060306030603050203050202040401050101050102010301040304020505040405030403030103040503030603010,board_n_1304.txt
"((5, 1), (5, 2))",20,243.00000000000006,500,2,2000,2,50406060306030603050203050202040401050101050102010301040304020505040405030403030103040503030603010,board_n_1304.txt
