random,greedy,offline,mcts_base,mcts_fixed_depth,combined
3080,3220,3720,3260,8720,3600
2160,1680,2380,2980,1920,2040
2540,7740,8540,2980,4900,17380
2460,3700,2920,5680,9800,11860
1560,8740,1880,2760,3080,2880
2260,3860,6920,5780,3200,3720
3080,3320,2040,4180,8460,2260
1920,2900,1440,2500,12520,2160
1440,2780,1560,9360,2420,4040
1560,2400,2180,3960,3560,13620
2540,3580,8740,5520,3580,2660
1960,2200,6760,4060,2740,2280
5480,1560,3100,1920,2880,2400
2140,2520,1440,12080,14540,8480
2500,5560,2160,2780,1920,3500
1800,2660,2260,14320,16540,11760
2400,4560,1920,3720,4700,9640
2400,3920,2000,5160,6340,5460
1440,1800,2180,2500,1680,4000
9000,5480,3140,8860,5080,9900
1800,3140,1680,3440,8740,5180
1800,2760,1920,2960,13820,4840
2400,6380,9920,4920,6020,9000
1680,2640,7320,4880,2640,1680
1440,5640,3540,6360,2920,6760
1920,8360,2420,21220,16920,11760
2160,7080,3100,4300,8480,6620
1680,3080,3720,4740,3220,9240
2260,2740,6880,1440,6600,1900
1440,2680,3780,23740,10520,7320
1320,5020,2080,2540,3360,3680
6600,3900,3600,4180,4960,6100
2020,3160,3400,8480,8660,7680
1680,2040,13780,3300,3220,3440
1680,4400,2160,8340,2400,3800
4860,1320,1800,3020,3660,9960
2520,2360,3820,2780,6580,2820
1680,2280,2640,5720,3280,3860
2880,2080,1320,3840,4820,3840
1320,9500,10100,3080,4440,6100
1560,6680,1920,4420,4820,2040
1920,5060,4260,2500,3920,2640
6800,2040,1560,2280,2540,2980
2420,6060,2180,3740,3720,6300
1560,16320,7360,15180,15900,18220
1480,9500,1600,5380,9360,4320
1720,5780,4780,5360,20260,3800
2180,3280,12500,9960,6120,20280
1560,1440,1560,5540,7080,2280
1560,1800,2160,3840,5200,14920
1560,4540,2500,10700,4700,5540
1320,1560,1920,7200,3740,3280
3000,3700,2280,2980,4260,3840
1440,2800,2540,2440,13600,2980
2780,1920,3080,2980,2280,2900
1920,2880,11140,2860,8860,2900
1720,5000,3400,2080,1600,8060
6520,5560,2620,6760,3340,9920
1320,2620,3000,2820,8920,3920
1680,3280,1560,14180,2720,2140
1560,4240,16160,16520,6080,5620
4460,15360,6120,7200,7880,6180
1800,3220,2900,2980,3740,8420
1440,2380,2740,7120,2860,12240
1560,2520,1680,3620,3400,3820
1320,3220,2000,3800,2280,1800
8240,4760,1920,1560,3220,22800
1680,1680,9540,5280,3560,4160
1440,3620,3320,5640,2160,2620
1560,3200,1240,10720,8020,6540
2160,2040,1560,9360,14160,3240
2060,2160,1560,7560,3340,8440
1440,3420,2040,1800,2280,4440
1440,3940,4480,3980,4620,5540
1920,4560,6760,10920,2240,2260
1680,2820,1440,2380,4900,3940
1560,4540,1680,16200,10320,17320
1920,1560,3600,7720,5560,10540
3940,9620,2620,3460,3100,5500
1560,1920,1440,7860,2300,2500
1560,3520,2080,4420,8980,7940
1440,3080,8680,3780,7420,6300
2140,1800,3380,4420,11780,4120
1800,2160,7240,10200,4960,9660
1320,1720,2780,7640,6140,3680
1440,2780,2860,4280,9000,5420
1440,2500,14920,8560,2780,2040
1720,8620,4780,3700,5860,4620
1560,2780,6440,15360,8540,7580
