random,greedy,offline,mcts_base,mcts_fixed_depth,combined
1480,2500,1680,7880,2160,5060
2860,1920,3760,8540,4100,6060
1920,2580,2400,9320,1920,8740
1440,2720,1800,6680,6820,6760
3720,3040,3040,9720,3280,7360
1920,1920,1560,4300,3620,31080
1920,2040,1320,2140,4480,8380
7000,2880,8440,15500,4960,2540
3320,1960,2140,4760,3640,4100
3360,1680,7760,9420,5040,5240
1440,1680,2620,2040,7180,6760
1440,5620,2400,12800,5020,5460
2160,2040,2680,2520,14440,5080
1920,1800,1440,5480,2880,3240
1320,2920,1560,3340,4700,3400
3200,3400,2920,14600,4120,4840
1920,3220,1680,2660,10060,4260
2400,4440,3440,2840,16360,2280
1440,2040,2660,6260,5000,5160
1440,3220,3320,3720,4200,5340
4180,4360,2280,8120,7040,4920
1560,2280,2520,26300,5480,24260
2200,2280,3220,4080,5300,10940
1560,2680,1680,4320,4760,4740
1920,4680,3240,8060,15700,5240
1560,3160,1960,8260,12780,18720
3080,3580,1840,8420,18500,23480
1720,1680,1440,1440,5560,1200
2800,3380,2520,2740,2620,4680
2620,2160,3740,2640,3780,2520
1920,1920,2160,4220,2940,4240
4660,4080,3380,9200,3220,17280
1320,1840,5040,3120,2420,11800
1440,3620,9720,3620,3440,3600
2340,1900,1440,1760,4180,1720
1680,5080,3160,4820,3940,4260
2920,9300,3140,10880,10580,2160
2160,1920,1440,10240,2980,1800
3360,2540,2060,9320,4480,4880
1600,10520,1800,4760,2640,12400
1800,5100,3020,7000,10680,13240
1680,1840,1800,4620,6200,4160
1800,2420,1680,14520,12920,10140
1480,2840,2060,1940,1840,5020
1920,2880,8620,5500,5160,9200
1800,2740,8700,4200,13640,2860
1440,4240,2540,10660,2420,1920
2620,3440,1560,4660,3360,4380
1320,3000,3320,11400,4660,21520
1560,2040,1920,1920,7480,13300
2540,7300,1800,5020,3720,9000
2300,2280,2980,8260,2980,5020
1320,2720,1800,8500,1920,2540
2200,2040,3920,11280,5240,7800
1920,4180,1440,11460,8220,8300
4020,5420,5360,3840,10240,4780
1320,1920,10660,6680,5000,8220
3120,5660,2900,4880,3100,10400
2660,7580,18140,9580,3360,9440
1560,4420,1320,6940,6060,6200
2380,3860,2380,7020,10800,3500
1560,4760,3120,18540,5860,4360
1440,3140,1680,8840,4580,24180
1560,2040,2160,6240,2040,9840
2400,2500,3920,9640,8300,2280
1560,4040,2280,2520,5400,9900
2080,1560,2760,2040,4420,18200
2520,2040,1200,2800,7320,4080
3240,1680,1480,3960,10940,8660
2280,2860,4680,9940,5460,3900
2040,3300,3340,2580,1920,4620
2180,5280,5920,5360,4960,18140
5760,6660,5180,5580,12020,24720
1880,7760,1440,4220,3360,3560
2280,2540,2260,10640,5320,12840
1920,1680,3480,21640,23760,8580
1560,4100,3340,21160,6140,7880
1560,1680,1320,1800,9120,5800
2160,3220,4440,9120,3160,13320
1320,1800,2500,4720,4940,3240
1840,3080,1200,19240,9520,4020
2300,3760,4140,8620,16920,17880
2160,4180,5180,4400,8340,4180
1680,4820,1680,14060,16480,20720
1560,3420,5020,9720,4540,9600
2140,6840,5960,2160,9480,3640
2780,2660,11900,4860,4160,3580
2660,4900,2520,2160,11960,2400
1680,7060,1920,6680,10100,22940
3400,4180,9160,5120,4420,18100
7320,6080,10540,7780,2900,5020
3440,3680,10220,11040,10860,2860
2260,2780,3500,21320,8740,9340
3120,6440,3500,2900,10760,4080
2400,2440,3120,15600,1680,4660
2640,8020,2040,1800,8020,10200
1920,3200,3920,3480,2860,6860
3820,5260,3720,5220,14680,4320
1680,5080,1560,14440,5860,2880
2340,2980,9160,4080,2280,4760
1920,2400,1440,8500,14260,5480
7560,11720,15240,23340,8480,26980
1360,3220,1920,4440,12480,1920
2800,4640,4920,5640,6560,5640
1680,2400,2540,4060,15940,8840
1800,3440,1440,9000,3120,9020
1800,2380,4420,2040,8300,2280
2800,3680,3740,3820,9040,2900
2340,2780,2420,14120,6060,13380
2860,7900,11580,11060,8660,10740
2160,2560,3660,8920,4560,3680
2660,2040,1720,5680,1680,3840
1920,2280,3940,2420,11460,2900
1800,4500,2260,21260,6240,11600
1480,3040,2380,2440,17080,20240
1680,2160,2300,1560,1600,3680
1560,2620,10820,11720,14660,9220
1800,4440,2680,2160,3880,3940
4160,3260,2000,5520,4920,9020
1680,3880,4140,5280,8820,3780
2160,3960,6200,11000,8660,11060
3720,3080,2860,4960,13200,3820
1900,8600,2640,12800,4460,10180
2540,3380,3000,3500,8240,10020
6840,4260,18560,24100,9380,9140
2180,5340,2400,4540,3800,5240
2640,2120,3000,8100,3060,2040
2040,3460,2420,3780,20820,6880
2160,3220,5900,9520,19100,4620
2880,4520,3120,4580,6980,8140
1560,2040,3000,3080,6120,3020
1480,1560,2780,3320,4000,6300
2000,2520,2560,2760,9940,12480
1320,12100,3460,4200,5140,4780
2440,4440,3980,5600,4080,9600
1440,2040,5220,14820,8820,1680
1680,3320,2920,10840,3520,10020
1920,3140,4780,8360,16980,4440
2520,3540,1320,9280,2620,1840
3620,3040,7200,4580,2900,6960
2160,2760,1800,4220,2040,1960
2600,4260,2040,4380,23080,5700
2740,1560,2160,2280,1680,8860
1480,1800,3440,2200,2640,13000
1560,2780,2780,10380,3720,3200
6880,4920,7640,16280,16340,23320
1480,3480,3560,3720,2160,3800
2800,4140,9880,4380,5220,3880
3140,2440,1240,20360,8120,3680
3200,6220,4480,9240,4080,8580
1440,2560,1440,8640,2900,4380
2980,3880,3360,10600,2040,2040
3560,5620,13020,5000,3240,11920
3820,4200,2540,29340,5760,5500
1560,6340,10200,11600,6380,9360
7320,8160,7360,10800,18020,7920
2540,2860,4400,3620,15580,8100
3760,1800,1200,5540,2980,4540
1800,9820,2380,5120,3320,16160
1320,6920,2640,9480,3940,5380
4140,6440,7580,7520,6580,7380
1920,8680,2660,7840,2980,3820
2300,4300,5660,4180,4220,10620
8900,2280,2400,4100,7800,4780
2040,2280,3920,9860,4780,4280
1360,4560,4240,5400,3620,2780
2920,5740,3080,8900,14220,10020
1720,3560,10260,9720,8980,11880
2860,2960,3600,7280,9360,11580
1680,3940,3960,4160,3560,6660
1800,2200,8840,9060,8620,10260
1680,16160,1720,10340,9660,10540
1560,3060,15840,23120,2920,2860
1720,1680,1560,8480,1680,2280
3240,2400,3460,14180,10060,10220
1800,3840,9840,15180,11740,11280
1560,3100,2960,1920,3720,3880
1200,2680,1920,1560,3420,3620
1560,4560,1440,28980,5580,3560
1440,2040,13400,2540,3180,2740
2400,2400,2160,4480,8600,20280
1920,7920,3000,5480,3680,5100
2040,2040,2860,12860,2540,4040
1920,2400,10760,3860,4720,3260
1680,4440,8440,8300,3380,2420
1320,7860,5540,2720,10620,9520
8560,5840,1560,6620,2540,2160
3040,4280,1920,8820,5080,5280
1320,2440,2760,3860,3840,3960
2280,7960,3640,8280,3860,2740
1200,3140,5320,10600,1800,8160
2040,2960,1840,2520,3600,1560
2040,2640,5260,11820,5180,3980
3360,3440,19320,6680,3840,15740
2620,3320,4060,9540,4820,12460
2180,1840,1200,3360,2920,9840
2360,3280,1840,8400,5980,3820
3200,2280,1320,4680,2900,5940
4060,3180,3720,11280,17020,3100
1800,4380,7240,5640,11940,7800
1720,2060,1440,14080,5080,1840
2920,3040,3160,12040,3520,7380
1440,2900,5300,3460,5120,6260
1920,5240,1320,13180,9320,3780
2040,8080,1680,5440,10960,12660
2160,1320,3680,3460,3620,3260
1840,2040,1680,6200,4640,30640
1680,6320,3660,3680,2280,17160
1680,3040,1440,2620,2420,5460
1680,8720,3900,3180,7720,19560
1680,2520,1800,3020,9840,2160
1440,2620,1680,4300,10500,5420
1800,2900,3580,4380,7660,11600
2160,4220,1800,8240,1680,3480
2800,4700,4000,11840,4460,4000
2400,2780,3120,5060,5480,6060
2040,2160,2280,7000,2400,2900
1680,5360,4520,4260,1560,2620
1680,4000,1440,4280,6740,1800
3660,2660,3780,6400,8440,12680
3160,7220,4060,3680,20200,8880
2160,13460,1920,2960,7900,15480
5880,5660,2420,10860,13460,3560
1320,7440,4820,8820,11480,4420
1820,1800,2960,2540,6340,3740
1440,2900,6420,3500,5880,19800
1720,1960,9140,14400,8580,16120
2300,2500,9160,19500,3220,7460
1800,2640,1920,5760,3740,10900
1440,2760,3120,10260,8360,9740
1680,3380,2160,4120,2040,5120
1800,2520,2280,5220,9320,4860
1320,1560,1320,8480,3820,3220
2160,1920,5000,8660,14620,4580
2080,2160,2260,9120,1560,10900
3400,3820,3560,10940,8800,8320
1800,2040,2080,5420,3260,8120
3360,3440,1800,20420,20180,4380
1920,1920,3740,2680,3040,5720
2860,3700,6900,8000,10240,8500
1560,2280,23300,4020,19460,9980
9120,1920,2520,15960,2860,3740
1680,3700,2760,2500,4900,3100
1800,2160,1560,2860,3800,3960
1680,4780,4060,11900,12240,14580
1800,2800,1600,5280,2260,8740
1680,8480,3760,5320,14160,7940
1600,2540,8700,11380,13720,4080
1200,4060,1680,3520,5000,11960
1680,1920,2720,1800,4960,2420
2660,4180,4040,7020,5600,8460
1320,8340,1440,2860,5040,4740
2100,2760,2540,5540,6320,10300
4240,3580,1560,7100,2400,12360
2040,3240,1800,7680,2760,1680
1320,2580,2640,11100,5360,2400
1800,3580,2140,4540,5340,7920
1200,2040,1440,2320,7200,2980
1840,9760,4220,6060,1920,3020
2380,5240,1320,13860,9080,4820
2040,8820,3980,5800,4960,3920
7580,7920,9560,16400,8420,15420
1440,1800,4180,8880,3220,1440
1800,2400,2300,39040,13240,3920
3560,2160,2160,3560,23920,8040
2760,2540,5540,3340,3340,3800
2040,3500,4360,4040,3560,4220
2880,6720,3120,20800,3080,15040
1560,2160,3340,7780,3960,21260
1800,2040,7640,9780,13800,3620
1560,7020,12680,20240,9620,8800
2300,7640,5080,5700,3960,2320
4040,2860,1920,9500,2520,8200
2040,5180,7000,6120,7400,2920
1800,1800,7280,15000,4920,5000
3940,2180,4300,6500,8480,5200
8140,3700,2540,7500,7600,13020
1720,3520,1560,3560,2420,2760
1440,2040,2500,2420,3520,10580
1560,3340,2660,4660,6960,9360
1320,2500,2360,4800,2980,4680
2300,3260,18500,18240,15440,26140
1200,2520,4080,3320,10020,5320
1920,3460,2740,6120,6120,9480
3260,3960,4040,3160,8880,4340
2980,3320,2380,5360,16580,11300
2040,3100,2040,2500,4180,4520
1400,9040,4920,9240,5600,6220
1560,3180,2280,2280,3340,3780
1920,4400,2280,4380,14500,4420
1560,4520,5780,20800,3640,3820
2500,2500,3440,2160,2280,2880
1560,1680,1440,6220,2620,3860
2780,6340,1680,4040,15800,3580
