Metadata_1,Metadata_2,Metadata_3,Metadata_4,Metadata_5,Move_1_Coordinates,Move_1_Attribute1,Move_1_Attribute2,Move_2_Coordinates,Move_2_Attribute1,Move_2_Attribute2,Move_3_Coordinates,Move_3_Attribute1,Move_3_Attribute2,Move_4_Coordinates,Move_4_Attribute1,Move_4_Attribute2,Move_5_Coordinates,Move_5_Attribute1,Move_5_Attribute2,Move_6_Coordinates,Move_6_Attribute1,Move_6_Attribute2,Move_7_Coordinates,Move_7_Attribute1,Move_7_Attribute2,File,Move_8_Coordinates,Move_8_Attribute1,Move_8_Attribute2,Move_9_Coordinates,Move_9_Attribute1,Move_9_Attribute2,Move_10_Coordinates,Move_10_Attribute1,Move_10_Attribute2,Move_11_Coordinates,Move_11_Attribute1,Move_11_Attribute2,Move_12_Coordinates,Move_12_Attribute1,Move_12_Attribute2,Move_13_Coordinates,Move_13_Attribute1,Move_13_Attribute2,Move_14_Coordinates,Move_14_Attribute1,Move_14_Attribute2,Move_15_Coordinates,Move_15_Attribute1,Move_15_Attribute2,Move_16_Coordinates,Move_16_Attribute1,Move_16_Attribute2,Move_17_Coordinates,Move_17_Attribute1,Move_17_Attribute2,Move_18_Coordinates,Move_18_Attribute1,Move_18_Attribute2,Move_19_Coordinates,Move_19_Attribute1,Move_19_Attribute2,Move_20_Coordinates,Move_20_Attribute1,Move_20_Attribute2,Move_21_Coordinates,Move_21_Attribute1,Move_21_Attribute2,Move_22_Coordinates,Move_22_Attribute1,Move_22_Attribute2,Move_23_Coordinates,Move_23_Attribute1,Move_23_Attribute2
500,2,2000,2,50301060103020502020302050106030301010403060203040606050504060601060104050305050102060203010104010,"((1, 2), (1, 3))",6,180.0,"((1, 3), (2, 3))",6.0,151.66666666666666,"((1, 3), (1, 4))",5.0,142.0,"((3, 2), (4, 2))",14.0,336.07142857142856,"((3, 3), (4, 3))",7.0,202.85714285714286,"((3, 4), (4, 4))",6.0,170.0,"((4, 2), (5, 2))",7.0,211.42857142857142,board_n_1310.txt,"((4, 4), (4, 5))",9.0,262.22222222222223,"((4, 5), (5, 5))",11.0,294.54545454545456,"((5, 1), (5, 2))",8.0,215.41666666666669,"((5, 4), (5, 5))",5.0,132.0,"((5, 5), (6, 5))",1909.0,791.706590336503,"((5, 5), (5, 6))",7.0,187.14285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,50203010605050205010405010206040505010603030306240503120401060102060306020305010503040603060303010,"((0, 4), (1, 4))",21,430.1904761904762,"((1, 1), (2, 1))",17.0,396.05882352941177,"((1, 4), (2, 4))",14.0,352.5,"((2, 3), (2, 4))",21.0,410.7460317460318,"((2, 4), (3, 4))",20.0,422.1833333333334,"((3, 5), (3, 6))",1907.0,759.4299323295128,,,,board_n_1476.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,30604040202010502060605030204020105060601010503040305030401050603060604010504040502060503060404060,"((0, 1), (1, 1))",123,193.31707317073176,"((1, 3), (2, 3))",160.0,207.9,"((1, 4), (2, 4))",75.0,159.70666666666662,"((2, 0), (3, 0))",988.0,323.54540196645485,"((3, 0), (3, 1))",111.0,186.79279279279282,"((3, 1), (3, 2))",141.0,200.76832151300235,"((4, 3), (4, 4))",158.0,207.43037974683548,board_n_2157.txt,"((5, 3), (6, 3))",137.0,199.02189781021897,"((5, 5), (6, 5))",107.0,184.2990654205608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,20206010406040306020201040101010303050104060305040502040303050602050201060104040606050401050504040,"((0, 1), (1, 1))",154,197.99567099567096,"((0, 2), (1, 2))",87.0,161.18390804597706,"((0, 5), (1, 5))",98.0,169.1122448979592,"((1, 5), (2, 5))",588.0,251.9812925170068,"((1, 5), (1, 6))",182.0,207.0054945054945,"((2, 1), (3, 1))",118.0,182.27966101694915,"((2, 1), (2, 2))",160.0,200.00416666666663,board_n_1338.txt,"((3, 5), (4, 5))",102.0,172.86274509803923,"((4, 4), (4, 5))",318.0,287.2264150943394,"((5, 4), (6, 4))",98.0,169.83673469387747,"((5, 5), (6, 5))",95.0,166.96842105263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,50504040104040304050402050106040206060403010205060301020104010405030406040505060506060105010302030,"((0, 1), (1, 1))",10,196.5,"((0, 1), (0, 2))",9.0,166.66666666666666,"((0, 2), (1, 2))",12.0,215.83333333333334,"((0, 3), (0, 4))",9.0,176.66666666666666,"((0, 4), (0, 5))",11.0,211.8181818181818,"((2, 1), (3, 1))",9.0,172.22222222222223,"((3, 1), (4, 1))",9.0,154.44444444444446,board_n_2143.txt,"((3, 2), (4, 2))",1899.0,818.484335949582,"((4, 4), (5, 4))",13.0,230.0,"((5, 4), (5, 5))",19.0,289.42105263157896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,60204060505040401010404050106060406040301020305030104040606010403010504050204050506060504010103040,"((0, 2), (1, 2))",11,170.0,"((1, 2), (2, 2))",10.0,155.53333333333336,"((1, 2), (1, 3))",9.0,137.77777777777777,"((1, 3), (2, 3))",12.0,180.5,"((2, 2), (2, 3))",13.0,189.23076923076923,"((2, 4), (3, 4))",10.0,157.0,"((3, 4), (3, 5))",1935.0,790.1676592428544,board_n_172.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,60404060202050201060504050506040403060403030406010105010305050206020101050103010403020205020203020,"((0, 1), (1, 1))",170,174.37450980392163,"((1, 3), (1, 4))",1195.0,314.6970047154148,"((3, 5), (3, 6))",487.0,216.09848114468247,"((5, 1), (5, 2))",148.0,166.75900900900902,,,,,,,,,,board_n_614.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,30103060306020505060301040103060202040103040304060202060402030101050606050402010503010603040302030,"((0, 3), (1, 3))",31,170.83870967741936,"((1, 5), (2, 5))",28.0,159.5,"((2, 3), (3, 3))",1882.0,543.4473710844592,"((2, 4), (3, 4))",59.0,226.52542372881356,,,,,,,,,,board_n_600.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,30501040301020201040302030404050504020402020406040605030405060501060301060304030402020403010401030,"((0, 3), (1, 3))",36,147.05555555555554,"((0, 4), (1, 4))",87.0,226.06896551724142,"((1, 2), (1, 3))",1674.0,412.5142942481647,"((3, 0), (3, 1))",63.0,201.33333333333334,"((4, 3), (5, 3))",40.0,157.87499999999997,"((5, 1), (5, 2))",58.0,193.3793103448276,"((5, 4), (6, 4))",42.0,162.04761904761907,board_n_166.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,50602060104020104030204040505060503020606010205040506060505010603010106030503060406030504020203060,"((3, 2), (4, 2))",225,164.4895238095239,"((4, 1), (4, 2))",1099.0,292.97351127287425,"((4, 2), (5, 2))",455.0,191.02438513867105,"((5, 1), (5, 2))",221.0,163.69532428355956,,,,,,,,,,board_n_1847.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,40602040301020605050302040601060105060402030604050301010605060201040602030401040602020206040501050,"((0, 1), (1, 1))",35,165.42857142857142,"((1, 0), (1, 1))",101.0,258.9207920792078,"((1, 2), (1, 3))",1509.0,421.3636277572663,"((1, 3), (2, 3))",62.0,220.33870967741936,"((3, 1), (4, 1))",75.0,237.25333333333333,"((3, 4), (4, 4))",65.0,225.95384615384614,"((3, 5), (4, 5))",34.0,161.76470588235293,board_n_2396.txt,"((4, 0), (4, 1))",41.0,181.609756097561,"((4, 1), (4, 2))",29.0,142.75862068965512,"((5, 3), (6, 3))",49.0,199.49659863945578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,60402030302020401040101030504020401040403050405040505060202010606040605050304010104020204020503010,"((0, 0), (0, 1))",48,175.33333333333334,"((0, 1), (1, 1))",92.0,231.75,"((0, 1), (0, 2))",803.0,380.7669453833837,"((0, 5), (1, 5))",57.0,193.3567251461988,"((1, 1), (1, 2))",70.0,210.54285714285714,"((2, 1), (3, 1))",59.0,196.3050847457627,"((2, 2), (3, 2))",60.0,197.71111111111114,board_n_628.txt,"((2, 2), (2, 3))",265.0,288.8591194968553,"((2, 3), (3, 3))",118.0,247.16101694915255,"((3, 0), (3, 1))",62.0,199.79032258064515,"((3, 1), (3, 2))",73.0,213.62557077625567,"((3, 2), (3, 3))",238.0,284.17647058823525,"((4, 5), (4, 6))",55.0,189.78181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,10306010103010604020304010305060304010602050605010205020304040104050106040605040301060205060201020,"((0, 5), (1, 5))",1500,285.85551851851864,"((0, 5), (0, 6))",96.0,160.2916666666667,"((1, 0), (1, 1))",151.0,187.8741721854305,"((1, 4), (1, 5))",80.0,148.02499999999998,"((2, 3), (2, 4))",87.0,154.45977011494244,"((4, 3), (4, 4))",86.0,152.89922480620154,,,,board_n_2382.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,50305010301030301060201050201040201050106050406040601030101040505030405020206060203040503010203060,"((0, 4), (1, 4))",67,163.91044776119406,"((0, 5), (1, 5))",122.0,206.51639344262293,"((1, 3), (1, 4))",99.0,192.84848484848484,"((1, 4), (2, 4))",239.0,240.5407451683602,"((1, 4), (1, 5))",80.0,176.9875,"((3, 2), (4, 2))",83.0,180.7349397590362,"((4, 1), (4, 2))",119.0,204.4453781512605,board_n_1853.txt,"((4, 5), (4, 6))",76.0,172.71052631578948,"((5, 5), (5, 6))",1115.0,306.6401024983988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,40301020104020306040106010404040604050602030501030203020502050503050506020602010506010103020403050,"((0, 3), (1, 3))",9,141.11111111111111,"((0, 4), (1, 4))",10.0,159.0,"((1, 2), (2, 2))",11.0,160.45454545454547,"((2, 2), (2, 3))",10.0,150.0,"((3, 1), (4, 1))",9.0,130.0,"((3, 4), (4, 4))",1909.0,986.5208827026547,"((4, 0), (4, 1))",10.0,151.0,board_n_1106.txt,"((4, 3), (4, 4))",10.0,147.0,"((4, 4), (4, 5))",12.0,189.58333333333334,"((5, 5), (5, 6))",10.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,20304020205010505030401060401060203010401050206050502010106020401020403050502030502020406050304020,"((3, 1), (3, 2))",1837,694.5011405759901,"((3, 4), (4, 4))",19.0,169.47368421052633,"((4, 5), (4, 6))",21.0,182.38095238095238,"((5, 3), (6, 3))",80.0,307.38750000000005,"((5, 5), (5, 6))",43.0,260.55813953488365,,,,,,,board_n_1660.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,10604010305020605040604010205060206010303030405010305030401060603010104020403010202020602050301040,"((1, 0), (1, 1))",26,171.53846153846155,"((2, 4), (3, 4))",28.0,184.25,"((2, 4), (2, 5))",23.0,155.21739130434784,"((2, 5), (3, 5))",26.0,172.30769230769232,"((3, 0), (3, 1))",22.0,152.72727272727272,"((3, 3), (4, 3))",24.0,165.20833333333334,"((4, 4), (5, 4))",1723.0,515.2792195229799,board_n_2369.txt,"((5, 1), (6, 1))",22.0,150.45454545454547,"((5, 3), (5, 4))",24.0,166.04166666666666,"((5, 4), (6, 4))",51.0,244.01960784313718,"((5, 4), (5, 5))",31.0,196.67741935483872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,2000,2,30105060401030302020402030205010303010402020401040501040104010301050204020201020604020605010606040,"((1, 3), (1, 4))",130,166.90769230769232,"((2, 1), (2, 2))",96.0,147.07291666666669,"((3, 4), (3, 5))",163.0,180.09815950920247,"((4, 2), (4, 3))",415.0,220.47355134825008,"((4, 3), (5, 3))",232.0,197.32491789819372,"((4, 3), (4, 4))",245.0,199.78231292517015,"((5, 0), (6, 0))",256.0,202.0390625,board_n_1674.txt,"((5, 0), (5, 1))",186.0,187.19354838709677,"((5, 2), (5, 3))",127.0,165.49868766404202,"((5, 3), (5, 4))",150.0,175.65333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
